,price,host_id,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,number_of_reviews,review_scores_rating,review_scores_location,reviews_per_month,amenities_length
6168,1201,32764244,Islands,22.29978331117543,114.01152880080156,Apartment,Private room,5,2.5,3.0,5.0,Real Bed,0,0.0,0.0,0.0,24
6169,502,56974572,Wan Chai,22.27812318701055,114.19302721206152,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,1,0.0,0.0,0.13,8
6170,903,65962577,Islands,22.26318464827014,114.00274877718522,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,7,97.0,10.0,1.0,37
6171,400,41680622,Central & Western,22.281684494479645,114.12808791488165,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,12,95.0,9.0,1.72,34
6172,950,152033542,Yau Tsim Mong,22.302054570544186,114.17370755804049,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,0,0.0,0.0,0.0,13
6173,2504,49290609,Sham Shui Po,22.335780708945308,114.15007248860205,Apartment,Entire home/apt,6,2.0,3.0,3.0,Real Bed,0,0.0,0.0,0.0,28
6174,1177,79611488,Yau Tsim Mong,22.319279509007124,114.17139057058893,Apartment,Entire home/apt,8,1.0,3.0,4.0,Real Bed,50,96.0,10.0,5.86,32
6175,377,149898905,Wan Chai,22.27868691360347,114.18404833930023,Other,Private room,2,1.0,1.0,1.0,Real Bed,65,93.0,10.0,7.83,19
6176,526,64665790,Central & Western,22.28304434638344,114.1538899328454,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,2,100.0,10.0,0.24,34
6177,698,76263915,Central & Western,22.281834049879325,114.15214472325505,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,11,85.0,9.0,1.67,10
6178,400,6576860,Central & Western,22.2816773451162,114.15431830724752,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,3,90.0,10.0,0.37,15
6179,228,33257677,Yuen Long,22.440860003926225,114.03613002491579,Apartment,Private room,1,1.0,0.0,1.0,Real Bed,5,100.0,10.0,0.6,15
6180,298,156293758,Yau Tsim Mong,22.298738705458426,114.17302005897486,House,Private room,5,1.0,0.0,2.0,Real Bed,15,93.0,10.0,1.85,8
6181,322,11933811,Kowloon City,22.303917778282838,114.186973532276,Apartment,Entire home/apt,3,1.0,2.0,2.0,Real Bed,9,98.0,10.0,1.19,24
6182,212,104763501,Yuen Long,22.453767770279388,113.99990359670464,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,0,0.0,0.0,0.0,18
6183,1499,107633649,Wan Chai,22.274093786404443,114.171001818952,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,60.0,10.0,0.37,17
6184,204,154450767,Yuen Long,22.516000589841404,114.0636642250035,Other,Private room,2,2.0,1.0,1.0,Real Bed,4,85.0,10.0,0.61,16
6185,1099,5797373,Wan Chai,22.275139513737532,114.17225373273644,Condominium,Entire home/apt,4,1.0,2.0,3.0,Real Bed,0,0.0,0.0,0.0,22
6186,1601,4971086,Yau Tsim Mong,22.31854632313351,114.17107585211643,Apartment,Entire home/apt,9,2.0,3.0,4.0,Real Bed,18,100.0,10.0,2.63,34
6187,110,84637717,Yuen Long,22.510447880321387,114.06638607025313,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,0,0.0,0.0,0.0,29
6188,753,7058487,Wan Chai,22.280831835547534,114.18326720854759,Apartment,Entire home/apt,2,1.0,2.0,1.0,Real Bed,1,100.0,10.0,0.15,8
6189,785,152906926,Yau Tsim Mong,22.30404656777766,114.17226583011032,Other,Private room,2,1.0,1.0,1.0,Real Bed,3,87.0,7.0,0.38,5
6190,801,156492737,Kowloon City,22.303900580236544,114.18993005336478,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,2,100.0,10.0,0.43,14
6191,479,31947768,Yau Tsim Mong,22.303190440752864,114.17118955842251,Other,Entire home/apt,1,1.0,1.0,1.0,Real Bed,0,0.0,0.0,0.0,17
6192,479,103614068,Yau Tsim Mong,22.306211196809702,114.171165760308,Other,Private room,2,1.0,1.0,1.0,Real Bed,11,90.0,10.0,1.33,9
